"Categories Data Filtered by: Selected JCR Year: 2017 Selected Editions: SCIE,SSCI",,,,,
Category,Edition,# Journals,Total Cites,Median Impact Factor,Aggregate Impact Factor
"PSYCHOLOGY, EXPERIMENTAL",SSCI,85,"388,707",1.873,2.606
COMMUNICATION,SSCI,84,"111,741",1.322,1.588
GEOGRAPHY,SSCI,84,"174,543",1.597,2.312
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,84,"354,703",1.45,2.468
NUTRITION & DIETETICS,SCIE,83,"543,960",2.681,3.488
PHYSIOLOGY,SCIE,83,"576,524",2.517,3.116
OBSTETRICS & GYNECOLOGY,SCIE,82,"418,243",2.026,2.547
"PSYCHOLOGY, APPLIED",SSCI,82,"245,799",1.716,2.273
"CHEMISTRY, ANALYTICAL",SCIE,81,"872,360",2.111,3.341
SPORT SCIENCES,SCIE,81,"415,942",1.863,2.738
GASTROENTEROLOGY & HEPATOLOGY,SCIE,80,"637,010",3.05,4.685
BIOCHEMICAL RESEARCH METHODS,SCIE,79,"797,638",2.355,3.396
HEALTH POLICY & SERVICES,SSCI,79,"205,040",1.762,2.248
PATHOLOGY,SCIE,79,"329,075",2.015,2.609
"ENGINEERING, BIOMEDICAL",SCIE,78,"464,930",1.99,3.158
"PHYSICS, MULTIDISCIPLINARY",SCIE,78,"962,233",1.652,2.952
PSYCHOLOGY,SCIE,78,"445,555",2.226,2.764
ORTHOPEDICS,SCIE,77,"484,563",1.853,2.477
UROLOGY & NEPHROLOGY,SCIE,76,"438,062",2.038,3.387
METALLURGY & METALLURGICAL ENGINEERING,SCIE,75,"476,737",1.206,2.36
"PSYCHOLOGY, DEVELOPMENTAL",SSCI,73,"295,874",1.865,2.671
BIOPHYSICS,SCIE,72,"639,285",2.492,3.371
"CHEMISTRY, APPLIED",SCIE,72,"576,085",1.687,3.275
HEMATOLOGY,SCIE,71,"618,164",2.595,4.528
REHABILITATION,SSCI,69,"109,082",1.348,1.638
AREA STUDIES,SSCI,68,"38,910",0.65,0.753
"PHYSICS, CONDENSED MATTER",SCIE,67,"1,490,204",2.227,4.723
ASTRONOMY & ASTROPHYSICS,SCIE,66,"1,071,345",2.146,4.291
FORESTRY,SCIE,66,"165,114",1.383,1.842
PERIPHERAL VASCULAR DISEASE,SCIE,65,"635,764",2.629,4.102
REHABILITATION,SCIE,65,"178,834",1.719,2.103
DERMATOLOGY,SCIE,64,"245,390",1.893,2.657
MULTIDISCIPLINARY SCIENCES,SCIE,64,"3,132,708",1.149,5.11
OCEANOGRAPHY,SCIE,64,"293,032",1.736,2.041
"PSYCHOLOGY, SOCIAL",SSCI,64,"283,819",1.618,2.084
CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,62,"243,534",1.299,2.683
HISTORY & PHILOSOPHY OF SCIENCE,SCIE,62,"35,025",0.5,0.876
AUTOMATION & CONTROL SYSTEMS,SCIE,61,"350,086",2.082,3.341
CRIMINOLOGY & PENOLOGY,SSCI,61,"74,875",1.242,1.657
INSTRUMENTS & INSTRUMENTATION,SCIE,61,"419,155",1.642,2.535
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,60,"192,794",0.978,1.495
RESPIRATORY SYSTEM,SCIE,60,"444,579",2.606,4.073
"CHEMISTRY, MEDICINAL",SCIE,59,"499,438",2.631,2.931
MATHEMATICAL & COMPUTATIONAL BIOLOGY,SCIE,59,"329,133",1.619,2.468
OPHTHALMOLOGY,SCIE,59,"338,951",1.921,2.616
"PSYCHOLOGY, EDUCATIONAL",SSCI,59,"142,615",1.424,1.907
THERMODYNAMICS,SCIE,59,"432,289",1.633,3.09
"AGRICULTURE, MULTIDISCIPLINARY",SCIE,57,"210,711",0.811,1.638
BIODIVERSITY CONSERVATION,SCIE,57,"207,782",1.367,3.021
"CHEMISTRY, ORGANIC",SCIE,57,"770,990",2,3.201
PLANNING & DEVELOPMENT,SSCI,57,"135,755",1.738,2.177
PALEONTOLOGY,SCIE,56,"100,357",1.239,1.648
"PHYSICS, MATHEMATICAL",SCIE,55,"335,784",1.306,1.89
GERIATRICS & GERONTOLOGY,SCIE,53,"226,943",2.866,3.327
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",SCIE,52,"152,417",1.518,2.275
ETHICS,SSCI,52,"60,739",0.966,1.487
BEHAVIORAL SCIENCES,SCIE,51,"356,259",2.473,3.109
FISHERIES,SCIE,51,"193,266",1.49,1.844
"ENGINEERING, ENVIRONMENTAL",SCIE,50,"707,470",2.249,4.917
"HOSPITALITY, LEISURE, SPORT & TOURISM",SSCI,50,"108,762",2.018,2.421
EVOLUTIONARY BIOLOGY,SCIE,49,"450,381",2.538,3.916
"GEOGRAPHY, PHYSICAL",SCIE,49,"246,559",2.346,2.866
"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,49,"165,086",1.218,1.638
"ENGINEERING, INDUSTRIAL",SCIE,47,"199,535",2,2.78
GEOLOGY,SCIE,47,"120,827",1.238,2.293
PUBLIC ADMINISTRATION,SSCI,47,"61,563",1.44,1.905
"ENGINEERING, MANUFACTURING",SCIE,46,"202,463",1.969,2.71
FAMILY STUDIES,SSCI,46,"93,438",1.588,1.736
"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,45,"430,819",1.81,2.719
HISTORY & PHILOSOPHY OF SCIENCE,SSCI,45,"31,869",0.7,1.031
SPECTROSCOPY,SCIE,43,"204,339",1.776,2.039
DEVELOPMENTAL BIOLOGY,SCIE,42,"289,496",2.433,3.622
"SOCIAL SCIENCES, BIOMEDICAL",SSCI,42,"121,890",1.522,2.198
SOCIAL WORK,SSCI,42,"68,382",1.027,1.459
WOMENS STUDIES,SSCI,42,"50,468",0.886,1.252
"EDUCATION, SCIENTIFIC DISCIPLINES",SCIE,41,"102,773",1.511,1.8
OTORHINOLARYNGOLOGY,SCIE,41,"151,748",1.514,1.849
CULTURAL STUDIES,SSCI,40,"24,085",0.649,0.731
"EDUCATION, SPECIAL",SSCI,40,"45,197",1.183,1.474
SOCIAL ISSUES,SSCI,40,"46,405",1.245,1.541
URBAN STUDIES,SSCI,40,"84,356",1.484,2.114
HORTICULTURE,SCIE,37,"98,590",0.677,1.434
PARASITOLOGY,SCIE,37,"219,513",2.055,3.324
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",SCIE,37,"740,634",2.119,3.171
"ENGINEERING, GEOLOGICAL",SCIE,36,"127,131",1.822,2.316
GERONTOLOGY,SSCI,36,"129,192",1.527,2.475
SUBSTANCE ABUSE,SSCI,35,"111,334",2.09,2.729
TRANSPORTATION SCIENCE & TECHNOLOGY,SCIE,35,"115,114",2.164,2.525
VIROLOGY,SCIE,35,"314,149",2.514,3.764
SOIL SCIENCE,SCIE,34,"212,076",2.111,2.697
CRITICAL CARE MEDICINE,SCIE,33,"308,939",2.693,4.835
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,33,"281,938",2.702,5.062
"MATERIALS SCIENCE, BIOMATERIALS",SCIE,33,"318,421",3.026,4.446
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",SCIE,33,"50,793",1.441,1.632
NUCLEAR SCIENCE & TECHNOLOGY,SCIE,33,"177,385",1.123,1.318
ACOUSTICS,SCIE,31,"174,802",1.605,2.317
ANESTHESIOLOGY,SCIE,31,"201,325",2.556,3.093
"ENGINEERING, AEROSPACE",SCIE,31,"81,508",1.182,1.534
HISTORY OF SOCIAL SCIENCES,SSCI,31,"15,159",0.635,0.695
"PHYSICS, FLUIDS & PLASMAS",SCIE,31,"321,998",1.941,2.292
TRANSPORTATION,SSCI,31,"84,733",2.058,2.501
