"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,
Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"20,488",137.578,0.06231
NEW ENGLAND JOURNAL OF MEDICINE,"283,525",59.558,0.68235
NATURE REVIEWS DRUG DISCOVERY,"25,460",47.12,0.06273
LANCET,"195,553",44.002,0.40717
NATURE BIOTECHNOLOGY,"48,650",43.113,0.15711
NATURE REVIEWS IMMUNOLOGY,"31,545",39.416,0.08728
NATURE MATERIALS,"72,306",38.891,0.20761
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"36,784",38.602,0.09931
NATURE,"627,846",38.138,1.44256
Annual Review of Astronomy and Astrophysics,"9,000",37.846,0.02016
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"129,909",37.684,0.27421
CHEMICAL REVIEWS,"148,154",37.369,0.24503
NATURE REVIEWS GENETICS,"30,286",35.898,0.10682
Annual Review of Immunology,"17,023",35.543,0.03655
Nature Nanotechnology,"40,881",35.267,0.16738
SCIENCE,"568,210",34.661,1.15367
NATURE REVIEWS CANCER,"41,846",34.244,0.08781
CHEMICAL SOCIETY REVIEWS,"99,930",34.09,0.26994
REVIEWS OF MODERN PHYSICS,"41,133",33.177,0.09717
Living Reviews in Relativity,"2,038",32,0.00736
NATURE GENETICS,"86,870",31.616,0.25415
Nature Photonics,"28,381",31.167,0.13565
PROGRESS IN MATERIALS SCIENCE,"9,196",31.083,0.01677
PHYSIOLOGICAL REVIEWS,"24,788",30.924,0.0355
NATURE MEDICINE,"65,230",30.357,0.16179
NATURE REVIEWS NEUROSCIENCE,"33,792",29.298,0.07244
CELL,"202,467",28.71,0.55509
Nature Chemistry,"21,232",27.893,0.10315
PROGRESS IN POLYMER SCIENCE,"21,240",27.184,0.03299
LANCET ONCOLOGY,"30,800",26.509,0.11676
Energy & Environmental Science,"48,114",25.427,0.16474
NATURE METHODS,"38,428",25.328,0.20229
NATURE REVIEWS MICROBIOLOGY,"21,053",24.727,0.06494
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"5,802",24.652,0.00625
IMMUNITY,"39,637",24.082,0.13313
Annual Review of Pathology-Mechanisms of Disease,"3,448",23.758,0.01327
LANCET NEUROLOGY,"21,460",23.468,0.06594
CANCER CELL,"29,149",23.214,0.10244
Cell Stem Cell,"18,575",22.387,0.09136
Annual Review of Plant Biology,"16,767",22.131,0.01975
ACCOUNTS OF CHEMICAL RESEARCH,"58,876",22.003,0.12338
